xyzdmxyzcountry,xyzdmxyzrequestyear,xyzdmxyzinterpolation,xyzdcxyzwelfaretype,xyzdcxyzcoverage,xyzdcxyzgender,xyzdcxyzagegroup,xyzdcxyzeducation,xyzdcxyzdistribution,xyzdpxyzsi_pov_share_all,xyzdcxyzpppyear
BOL,2021,FALSE,INC,,,,Tertiary education,B40,.1474583,2011
BOL,2021,FALSE,INC,,,,Tertiary education,T60,.8525417,2011
BOL,2021,FALSE,INC,,,0-14,,B40,.5379632,2011
BOL,2021,FALSE,INC,,,0-14,,T60,.4620368,2011
BOL,2021,FALSE,INC,,,15-64,,B40,.3417246,2011
BOL,2021,FALSE,INC,,,15-64,,T60,.6582754,2011
BOL,2021,FALSE,INC,,,>65,,B40,.3525871,2011
BOL,2021,FALSE,INC,,,>65,,T60,.6474129,2011
BOL,2021,FALSE,INC,,Female,,,B40,.4101092,2011
BOL,2021,FALSE,INC,,Female,,,T60,.5898908,2011
BOL,2021,FALSE,INC,,Male,,,B40,.389522,2011
BOL,2021,FALSE,INC,,Male,,,T60,.610478,2011
BOL,2021,FALSE,INC,R,,,,B40,.5988863,2011
BOL,2021,FALSE,INC,R,,,,T60,.4011138,2011
BOL,2021,FALSE,INC,U,,,,B40,.3169062,2011
BOL,2021,FALSE,INC,U,,,,T60,.6830938,2011
BRA,2021,FALSE,INC,,,,No education,B40,.3991591,2011
BRA,2021,FALSE,INC,,,,No education,T60,.6008409,2011
BRA,2021,FALSE,INC,,,,Primary education,B40,.4329926,2011
BRA,2021,FALSE,INC,,,,Primary education,T60,.5670074,2011
BRA,2021,FALSE,INC,,,,Secondary education,B40,.3999045,2011
BRA,2021,FALSE,INC,,,,Secondary education,T60,.6000955,2011
BRA,2021,FALSE,INC,,,,Tertiary education,B40,.1258847,2011
BRA,2021,FALSE,INC,,,,Tertiary education,T60,.8741153,2011
BRA,2021,FALSE,INC,,,0-14,,B40,.6013535,2011
BRA,2021,FALSE,INC,,,0-14,,T60,.3986466,2011
BRA,2021,FALSE,INC,,,15-64,,B40,.378318,2011
BRA,2021,FALSE,INC,,,15-64,,T60,.621682,2011
BRA,2021,FALSE,INC,,,>65,,B40,.1372201,2011
BRA,2021,FALSE,INC,,,>65,,T60,.8627799,2011
BRA,2021,FALSE,INC,,Female,,,B40,.4095437,2011
BRA,2021,FALSE,INC,,Female,,,T60,.5904563,2011
BRA,2021,FALSE,INC,,Male,,,B40,.3899913,2011
BRA,2021,FALSE,INC,,Male,,,T60,.6100087,2011
BRA,2021,FALSE,INC,R,,,,B40,.5988185,2011
BRA,2021,FALSE,INC,R,,,,T60,.4011815,2011
BRA,2021,FALSE,INC,U,,,,B40,.3677562,2011
BRA,2021,FALSE,INC,U,,,,T60,.6322438,2011
BTN,2022,FALSE,CONS,,,,No education,B40,.3576912,2011
BTN,2022,FALSE,CONS,,,,No education,T60,.6423088,2011
BTN,2022,FALSE,CONS,,,,Primary education,B40,.381123,2011
BTN,2022,FALSE,CONS,,,,Primary education,T60,.618877,2011
BTN,2022,FALSE,CONS,,,,Secondary education,B40,.3277197,2011
BTN,2022,FALSE,CONS,,,,Secondary education,T60,.6722804,2011
BTN,2022,FALSE,CONS,,,,Tertiary education,B40,.126266,2011
BTN,2022,FALSE,CONS,,,,Tertiary education,T60,.8737339,2011
BTN,2022,FALSE,CONS,,,0-14,,B40,.4455113,2011
BTN,2022,FALSE,CONS,,,0-14,,T60,.5544887,2011
BTN,2022,FALSE,CONS,,,15-64,,B40,.3736289,2011
BTN,2022,FALSE,CONS,,,15-64,,T60,.6263711,2011
BTN,2022,FALSE,CONS,,,>65,,B40,.4774656,2011
BTN,2022,FALSE,CONS,,,>65,,T60,.5225344,2011
BWA,2015,FALSE,CONS,,,,No education,B40,.5528213,2011
BWA,2015,FALSE,CONS,,,,No education,T60,.4471787,2011
BWA,2015,FALSE,CONS,,,,Primary education,B40,.4146119,2011
BWA,2015,FALSE,CONS,,,,Primary education,T60,.5853881,2011
BWA,2015,FALSE,CONS,,,,Secondary education,B40,.3446758,2011
BWA,2015,FALSE,CONS,,,,Secondary education,T60,.6553242,2011
BWA,2015,FALSE,CONS,,,,Tertiary education,B40,.0852472,2011
BWA,2015,FALSE,CONS,,,,Tertiary education,T60,.9147528,2011
BWA,2015,FALSE,CONS,,,0-14,,B40,.5197824,2011
BWA,2015,FALSE,CONS,,,0-14,,T60,.4802176,2011
BWA,2015,FALSE,CONS,,,15-64,,B40,.3281702,2011
BWA,2015,FALSE,CONS,,,15-64,,T60,.6718298,2011
BWA,2015,FALSE,CONS,,,>65,,B40,.4376616,2011
BWA,2015,FALSE,CONS,,,>65,,T60,.5623384,2011
BWA,2015,FALSE,CONS,,Female,,,B40,.4160101,2011
BWA,2015,FALSE,CONS,,Female,,,T60,.5839899,2011
BWA,2015,FALSE,CONS,,Male,,,B40,.38192,2011
BWA,2015,FALSE,CONS,,Male,,,T60,.6180801,2011
BWA,2015,FALSE,CONS,R,,,,B40,.5712372,2011
BWA,2015,FALSE,CONS,R,,,,T60,.4287628,2011
BWA,2015,FALSE,CONS,U,,,,B40,.3080083,2011
BWA,2015,FALSE,CONS,U,,,,T60,.6919917,2011
CAF,2021,FALSE,CONS,,,,No education,B40,.3742931,2011
CAF,2021,FALSE,CONS,,,,No education,T60,.6257069,2011
CAF,2021,FALSE,CONS,,,,Primary education,B40,.3430717,2011
CAF,2021,FALSE,CONS,,,,Primary education,T60,.6569283,2011
CAF,2021,FALSE,CONS,,,,Secondary education,B40,.2709708,2011
CAF,2021,FALSE,CONS,,,,Secondary education,T60,.7290292,2011
CAF,2021,FALSE,CONS,,,,Tertiary education,T60,.975351,2011
CAF,2021,FALSE,CONS,,,0-14,,B40,.3873853,2011
CAF,2021,FALSE,CONS,,,0-14,,T60,.6126147,2011
CAF,2021,FALSE,CONS,,,15-64,,B40,.3056228,2011
CAF,2021,FALSE,CONS,,,15-64,,T60,.6943772,2011
CAF,2021,FALSE,CONS,,,>65,,B40,.315935,2011
CAF,2021,FALSE,CONS,,,>65,,T60,.684065,2011
CAF,2021,FALSE,CONS,,Female,,,B40,.4041061,2011
CAF,2021,FALSE,CONS,,Female,,,T60,.5958939,2011
CAF,2021,FALSE,CONS,,Male,,,B40,.3957267,2011
CAF,2021,FALSE,CONS,,Male,,,T60,.6042733,2011
CAF,2021,FALSE,CONS,R,,,,B40,.5059248,2011
CAF,2021,FALSE,CONS,R,,,,T60,.4940752,2011
CAF,2021,FALSE,CONS,U,,,,B40,.2479712,2011
CAF,2021,FALSE,CONS,U,,,,T60,.7520288,2011
CHL,2020,FALSE,INC,,,,No education,B40,.4486166,2011
CHL,2020,FALSE,INC,,,,No education,T60,.5513834,2011
CHL,2020,FALSE,INC,,,,Primary education,B40,.4352189,2011
CHL,2020,FALSE,INC,,,,Primary education,T60,.5647811,2011
CHL,2020,FALSE,INC,,,,Secondary education,B40,.4356014,2011
CHL,2020,FALSE,INC,,,,Secondary education,T60,.5643986,2011
CHL,2020,FALSE,INC,,,,Tertiary education,B40,.2318711,2011
CHL,2020,FALSE,INC,,,,Tertiary education,T60,.7681289,2011
CHL,2020,FALSE,INC,,,0-14,,B40,.5572665,2011
CHL,2020,FALSE,INC,,,0-14,,T60,.4427334,2011
CHL,2020,FALSE,INC,,,15-64,,B40,.3908875,2011
CHL,2020,FALSE,INC,,,15-64,,T60,.6091124,2011
CHL,2020,FALSE,INC,,,>65,,B40,.2304213,2011
CHL,2020,FALSE,INC,,,>65,,T60,.7695787,2011
CHL,2020,FALSE,INC,,Female,,,B40,.4085084,2011
CHL,2020,FALSE,INC,,Female,,,T60,.5914916,2011
CHL,2020,FALSE,INC,,Male,,,B40,.3900068,2011
CHL,2020,FALSE,INC,,Male,,,T60,.6099932,2011
CHL,2020,FALSE,INC,R,,,,B40,.4365063,2011
CHL,2020,FALSE,INC,R,,,,T60,.5634937,2011
CHL,2020,FALSE,INC,U,,,,B40,.3953154,2011
CHL,2020,FALSE,INC,U,,,,T60,.6046846,2011
CIV,2018,FALSE,CONS,,,,No education,B40,.464259,2011
CIV,2018,FALSE,CONS,,,,No education,T60,.535741,2011
CIV,2018,FALSE,CONS,,,,Primary education,B40,.3175436,2011
CIV,2018,FALSE,CONS,,,,Primary education,T60,.6824564,2011
CIV,2018,FALSE,CONS,,,,Secondary education,B40,.2010902,2011
CIV,2018,FALSE,CONS,,,,Secondary education,T60,.7989098,2011
CIV,2018,FALSE,CONS,,,,Tertiary education,B40,.0374246,2011
CIV,2018,FALSE,CONS,,,,Tertiary education,T60,.9625754,2011
CIV,2018,FALSE,CONS,,,0-14,,B40,.4865376,2011
CIV,2018,FALSE,CONS,,,0-14,,T60,.5134624,2011
CIV,2018,FALSE,CONS,,,15-64,,B40,.3357217,2011
CIV,2018,FALSE,CONS,,,15-64,,T60,.6642783,2011
CIV,2018,FALSE,CONS,,,>65,,B40,.3870726,2011
CIV,2018,FALSE,CONS,,,>65,,T60,.6129274,2011
CIV,2018,FALSE,CONS,,Female,,,B40,.4026533,2011
CIV,2018,FALSE,CONS,,Female,,,T60,.5973467,2011
CIV,2018,FALSE,CONS,,Male,,,B40,.3972658,2011
CIV,2018,FALSE,CONS,,Male,,,T60,.6027343,2011
CIV,2018,FALSE,CONS,R,,,,B40,.5775302,2011
CIV,2018,FALSE,CONS,R,,,,T60,.4224698,2011
CIV,2018,FALSE,CONS,U,,,,B40,.2275511,2011
CIV,2018,FALSE,CONS,U,,,,T60,.7724488,2011
CMR,2014,FALSE,CONS,,,,No education,B40,.6326966,2011
CMR,2014,FALSE,CONS,,,,No education,T60,.3673034,2011
CMR,2014,FALSE,CONS,,,,Primary education,B40,.3713411,2011
CMR,2014,FALSE,CONS,,,,Primary education,T60,.6286589,2011
CMR,2014,FALSE,CONS,,,,Secondary education,B40,.1869241,2011
CMR,2014,FALSE,CONS,,,,Secondary education,T60,.8130759,2011
CMR,2014,FALSE,CONS,,,,Tertiary education,B40,.0259436,2011
CMR,2014,FALSE,CONS,,,,Tertiary education,T60,.9740564,2011
CMR,2014,FALSE,CONS,,,0-14,,B40,.4887544,2011
CMR,2014,FALSE,CONS,,,0-14,,T60,.5112456,2011
CMR,2014,FALSE,CONS,,,15-64,,B40,.3216775,2011
CMR,2014,FALSE,CONS,,,15-64,,T60,.6783226,2011
CMR,2014,FALSE,CONS,,,>65,,B40,.4590702,2011
CMR,2014,FALSE,CONS,,,>65,,T60,.5409298,2011
CMR,2014,FALSE,CONS,,Female,,,B40,.4075478,2011
CMR,2014,FALSE,CONS,,Female,,,T60,.5924522,2011
CMR,2014,FALSE,CONS,,Male,,,B40,.3919711,2011
CMR,2014,FALSE,CONS,,Male,,,T60,.6080289,2011
CMR,2014,FALSE,CONS,R,,,,B40,.6056845,2011
CMR,2014,FALSE,CONS,R,,,,T60,.3943155,2011
CMR,2014,FALSE,CONS,U,,,,B40,.0971786,2011
CMR,2014,FALSE,CONS,U,,,,T60,.9028214,2011
COD,2012,FALSE,CONS,,,,No education,B40,.4546489,2011
COD,2012,FALSE,CONS,,,,No education,T60,.5453511,2011
COD,2012,FALSE,CONS,,,,Primary education,B40,.4258275,2011
COD,2012,FALSE,CONS,,,,Primary education,T60,.5741724,2011
COD,2012,FALSE,CONS,,,,Secondary education,B40,.2907781,2011
COD,2012,FALSE,CONS,,,,Secondary education,T60,.709222,2011
COD,2012,FALSE,CONS,,,,Tertiary education,B40,.0620857,2011
COD,2012,FALSE,CONS,,,,Tertiary education,T60,.9379143,2011
COD,2012,FALSE,CONS,,,0-14,,B40,.4588985,2011
COD,2012,FALSE,CONS,,,0-14,,T60,.5411015,2011
COD,2012,FALSE,CONS,,,15-64,,B40,.3558207,2011
COD,2012,FALSE,CONS,,,15-64,,T60,.6441793,2011
COD,2012,FALSE,CONS,,,>65,,B40,.2494429,2011
COD,2012,FALSE,CONS,,,>65,,T60,.7505571,2011
COD,2012,FALSE,CONS,,Female,,,B40,.3959067,2011
COD,2012,FALSE,CONS,,Female,,,T60,.6040933,2011
COD,2012,FALSE,CONS,,Male,,,B40,.4042167,2011
COD,2012,FALSE,CONS,,Male,,,T60,.5957833,2011
COD,2012,FALSE,CONS,R,,,,B40,.5354649,2011
COD,2012,FALSE,CONS,R,,,,T60,.4645351,2011
COD,2012,FALSE,CONS,U,,,,B40,.183834,2011
COD,2012,FALSE,CONS,U,,,,T60,.816166,2011
COG,2011,FALSE,CONS,,,,No education,B40,.55606,2011
COG,2011,FALSE,CONS,,,,No education,T60,.4439401,2011
COG,2011,FALSE,CONS,,,,Primary education,B40,.5043349,2011
COG,2011,FALSE,CONS,,,,Primary education,T60,.495665,2011
COG,2011,FALSE,CONS,,,,Secondary education,B40,.2832537,2011
COG,2011,FALSE,CONS,,,,Secondary education,T60,.7167463,2011
COG,2011,FALSE,CONS,,,,Tertiary education,B40,.0877394,2011
COG,2011,FALSE,CONS,,,,Tertiary education,T60,.9122607,2011
COG,2011,FALSE,CONS,,,0-14,,B40,.4794631,2011
COG,2011,FALSE,CONS,,,0-14,,T60,.5205369,2011
COG,2011,FALSE,CONS,,,15-64,,B40,.3438915,2011
COG,2011,FALSE,CONS,,,15-64,,T60,.6561085,2011
COG,2011,FALSE,CONS,,,>65,,B40,.4073485,2011
COG,2011,FALSE,CONS,,,>65,,T60,.5926515,2011
COG,2011,FALSE,CONS,,Female,,,B40,.406486,2011
COG,2011,FALSE,CONS,,Female,,,T60,.593514,2011
COG,2011,FALSE,CONS,,Male,,,B40,.3929252,2011
COG,2011,FALSE,CONS,,Male,,,T60,.6070748,2011
COG,2011,FALSE,CONS,R,,,,B40,.7378061,2011
COG,2011,FALSE,CONS,R,,,,T60,.2621938,2011
COG,2011,FALSE,CONS,U,,,,B40,.2318763,2011
COG,2011,FALSE,CONS,U,,,,T60,.7681237,2011
COL,2021,FALSE,INC,,,,No education,B40,.5568326,2011
COL,2021,FALSE,INC,,,,No education,T60,.4431674,2011
COL,2021,FALSE,INC,,,,Primary education,B40,.4309659,2011
COL,2021,FALSE,INC,,,,Primary education,T60,.5690341,2011
COL,2021,FALSE,INC,,,,Secondary education,B40,.3870945,2011
COL,2021,FALSE,INC,,,,Secondary education,T60,.6129055,2011
COL,2021,FALSE,INC,,,,Tertiary education,B40,.1498047,2011
COL,2021,FALSE,INC,,,,Tertiary education,T60,.8501953,2011
COL,2021,FALSE,INC,,,0-14,,B40,.5618312,2011
COL,2021,FALSE,INC,,,0-14,,T60,.4381688,2011
COL,2021,FALSE,INC,,,15-64,,B40,.3572916,2011
COL,2021,FALSE,INC,,,15-64,,T60,.6427084,2011
COL,2021,FALSE,INC,,,>65,,B40,.2714535,2011
COL,2021,FALSE,INC,,,>65,,T60,.7285465,2011
COL,2021,FALSE,INC,,Female,,,B40,.4080388,2011
COL,2021,FALSE,INC,,Female,,,T60,.5919612,2011
COL,2021,FALSE,INC,,Male,,,B40,.3917623,2011
COL,2021,FALSE,INC,,Male,,,T60,.6082377,2011
COL,2021,FALSE,INC,R,,,,B40,.5778617,2011
COL,2021,FALSE,INC,R,,,,T60,.4221383,2011
COM,2014,FALSE,CONS,,,,Primary education,B40,.3914444,2011
COM,2014,FALSE,CONS,,,,Primary education,T60,.6085556,2011
COM,2014,FALSE,CONS,,,,Secondary education,B40,.3281196,2011
COM,2014,FALSE,CONS,,,,Secondary education,T60,.6718804,2011
COM,2014,FALSE,CONS,,,,Tertiary education,B40,.1852774,2011
COM,2014,FALSE,CONS,,,,Tertiary education,T60,.8147226,2011
COM,2014,FALSE,CONS,,,0-14,,B40,.4956472,2011
COM,2014,FALSE,CONS,,,0-14,,T60,.5043528,2011
COM,2014,FALSE,CONS,,,15-64,,B40,.3877597,2011
